Component,Filename,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,species,sex,age,ageUnit,diagnosis,nf1Genotype,nf2Genotype,tumorType,modelSystemName,organ,comments,parentSpecimenID,specimenID,aliquotID,platform,nucleicAcidSource,specimenPreparationMethod,specimenType,runType,libraryStrand,libraryPrep,libraryPreparationMethod,readPair,readLength,readDepth,targetDepth,batchID,genePerturbed,genePerturbationType,genePerturbationTechnology,experimentalCondition,isCellLine,eTag,fundingAgency,studyId,studyName,initiative,entityId
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/SRX27016796_SRR31653914_2.fastq.gz,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276317,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S5, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276317,GSM8674103: S5,SRR31653914_S5,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653914,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S5),No,fb5c9da3-c15d-4856-a191-daa012c0644e,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647637
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/SRX27016798_SRR31653912_2.fastq.gz,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276314,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample V2, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276314,GSM8674105: V2,SRR31653912_V2,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653912,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (V2),No,290d5017-db18-43e2-8b52-bba3339d56a9,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647638
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/SRX27016803_SRR31653907_2.fastq.gz,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276308,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S1, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276308,GSM8674110: S1,SRR31653907_S1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653907,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S1),No,68d5846a-d353-4ce9-86bf-fece8c990f68,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647639
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/SRX27016797_SRR31653913_1.fastq.gz,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276315,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S3, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276315,GSM8674104: S3,SRR31653913_S3,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653913,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S3),No,3a40d918-b7b2-4dbc-9f55-ca65350936df,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647641
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016797_SRR31653913_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276315,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S3, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276315,GSM8674104: S3,SRR31653913_S3,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653913,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S3),No,3a37b405-b993-48e0-aa31-20a176260a05,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647644
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016796_SRR31653914_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276317,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S5, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276317,GSM8674103: S5,SRR31653914_S5,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653914,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S5),No,9e308cba-cb6a-4170-864f-14436c714986,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647645
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016796_SRR31653914_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276317,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S5, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276317,GSM8674103: S5,SRR31653914_S5,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653914,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S5),No,0683322d-049a-4426-b66a-e91db0aca8ec,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647646
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016799_SRR31653911_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276313,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample V3, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276313,GSM8674106: V3,SRR31653911_V3,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653911,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (V3),No,ddb151ea-f691-454e-943c-db3d9fd21a76,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647647
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016797_SRR31653913_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276315,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S3, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276315,GSM8674104: S3,SRR31653913_S3,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653913,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S3),No,eb27491f-e780-4ba9-918d-2d176f3f6514,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647648
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016801_SRR31653909_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276311,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus sample S6, part of a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to translate findings into clinical trials for NF1 MPNST treatment.",SAMN45276311,GSM8674108: S6,SRR31653909_S6,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653909,SHP2,,,SHP2 inhibition with hydroxychloroquine treatment in NF1-associated MPNSTs (S6),No,19173b1d-6590-4bf9-ad71-2af107265b4d,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647649
