run_accession,sample_accession,experiment_accession,study_accession,geo_series_id,geo_title,study_title,experiment_title,sample_title,organism_name,geo_organism,organism_taxid,library_strategy,library_source,library_selection,library_layout,geo_platform,instrument,instrument_model,bioproject,biosample,total_spots,total_size,run_total_spots,run_total_bases,geo_submission_date,geo_last_update_date,experiment_desc,geo_summary,instrument_model_desc,library_name,file_name,file_type,file_format,file_size_bytes,file_size_mb,file_download_url,file_s3_location,file_md5
SRR21492342,SRS15047696,SRX17495749,SRP399711,GSE212964,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,,Homo sapiens,Homo sapiens,9606,RNA-Seq,TRANSCRIPTOMIC SINGLE CELL,cDNA,PAIRED,GPL24676,Illumina NovaSeq 6000,Illumina NovaSeq 6000,PRJNA884396,SAMN30732287,1251181719,35382224389,418068446,50586281966,"Sep 08, 2022","Feb 27, 2025",GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,Peripheral nervous system tumors in neurofibromatosis,ILLUMINA,GSM6566490,EP5_S5_L001_I1_001.fastq.gz,,,2205117726,2102.96,,,ab35c4cdbebf78ad1ca54e25a07c7997
SRR21492342,SRS15047696,SRX17495749,SRP399711,GSE212964,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,,Homo sapiens,Homo sapiens,9606,RNA-Seq,TRANSCRIPTOMIC SINGLE CELL,cDNA,PAIRED,GPL24676,Illumina NovaSeq 6000,Illumina NovaSeq 6000,PRJNA884396,SAMN30732287,1251181719,35382224389,418068446,50586281966,"Sep 08, 2022","Feb 27, 2025",GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,Peripheral nervous system tumors in neurofibromatosis,ILLUMINA,GSM6566490,EP5_S5_L001_I2_001.fastq.gz,,,2598837100,2478.44,,,6991acd82dd6facd4e4b0725a0761a60
SRR21492342,SRS15047696,SRX17495749,SRP399711,GSE212964,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,,Homo sapiens,Homo sapiens,9606,RNA-Seq,TRANSCRIPTOMIC SINGLE CELL,cDNA,PAIRED,GPL24676,Illumina NovaSeq 6000,Illumina NovaSeq 6000,PRJNA884396,SAMN30732287,1251181719,35382224389,418068446,50586281966,"Sep 08, 2022","Feb 27, 2025",GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,Peripheral nervous system tumors in neurofibromatosis,ILLUMINA,GSM6566490,EP5_S5_L001_R1_001.fastq.gz,,,26859341399,25615.06,,,ec518ad3b2ae001c35eaaf52a43e727f
SRR21492342,SRS15047696,SRX17495749,SRP399711,GSE212964,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,,Homo sapiens,Homo sapiens,9606,RNA-Seq,TRANSCRIPTOMIC SINGLE CELL,cDNA,PAIRED,GPL24676,Illumina NovaSeq 6000,Illumina NovaSeq 6000,PRJNA884396,SAMN30732287,1251181719,35382224389,418068446,50586281966,"Sep 08, 2022","Feb 27, 2025",GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,Peripheral nervous system tumors in neurofibromatosis,ILLUMINA,GSM6566490,SRR21492342,,,21042699420,20067.88,,,ff8db7449367596923cb8586b7e3630d
SRR21492342,SRS15047696,SRX17495749,SRP399711,GSE212964,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,,Homo sapiens,Homo sapiens,9606,RNA-Seq,TRANSCRIPTOMIC SINGLE CELL,cDNA,PAIRED,GPL24676,Illumina NovaSeq 6000,Illumina NovaSeq 6000,PRJNA884396,SAMN30732287,1251181719,35382224389,418068446,50586281966,"Sep 08, 2022","Feb 27, 2025",GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,Peripheral nervous system tumors in neurofibromatosis,ILLUMINA,GSM6566490,SRR21492342.lite,,,13074212264,12468.54,,,b0a0d59f8d517c4d6898364af3cca262
SRR21492342,SRS15047696,SRX17495749,SRP399711,GSE212964,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,,Homo sapiens,Homo sapiens,9606,RNA-Seq,TRANSCRIPTOMIC SINGLE CELL,cDNA,PAIRED,GPL24676,Illumina NovaSeq 6000,Illumina NovaSeq 6000,PRJNA884396,SAMN30732287,1251181719,35382224389,418068446,50586281966,"Sep 08, 2022","Feb 27, 2025",GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,Peripheral nervous system tumors in neurofibromatosis,ILLUMINA,GSM6566490,EP5_S5_L001_R2_001.fastq.gz,,,19952181168,19027.88,,,2246317a99475c9427144049b0e18659
SRR21492342,SRS15047696,SRX17495749,SRP399711,GSE212964,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,,Homo sapiens,Homo sapiens,9606,RNA-Seq,TRANSCRIPTOMIC SINGLE CELL,cDNA,PAIRED,GPL24676,Illumina NovaSeq 6000,Illumina NovaSeq 6000,PRJNA884396,SAMN30732287,1251181719,35382224389,418068446,50586281966,"Sep 08, 2022","Feb 27, 2025",GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,Peripheral nervous system tumors in neurofibromatosis,ILLUMINA,GSM6566490,EP5_S5_L002_I1_001.fastq.gz,,,2198926827,2097.06,,,e448b865d4256ce0754155094cba9def
SRR21492342,SRS15047696,SRX17495749,SRP399711,GSE212964,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,,Homo sapiens,Homo sapiens,9606,RNA-Seq,TRANSCRIPTOMIC SINGLE CELL,cDNA,PAIRED,GPL24676,Illumina NovaSeq 6000,Illumina NovaSeq 6000,PRJNA884396,SAMN30732287,1251181719,35382224389,418068446,50586281966,"Sep 08, 2022","Feb 27, 2025",GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,Peripheral nervous system tumors in neurofibromatosis,ILLUMINA,GSM6566490,EP5_S5_L002_I2_001.fastq.gz,,,2597377289,2477.05,,,34f03690c9036adc6117d9777d29fa3b
SRR21492342,SRS15047696,SRX17495749,SRP399711,GSE212964,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,,Homo sapiens,Homo sapiens,9606,RNA-Seq,TRANSCRIPTOMIC SINGLE CELL,cDNA,PAIRED,GPL24676,Illumina NovaSeq 6000,Illumina NovaSeq 6000,PRJNA884396,SAMN30732287,1251181719,35382224389,418068446,50586281966,"Sep 08, 2022","Feb 27, 2025",GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,Peripheral nervous system tumors in neurofibromatosis,ILLUMINA,GSM6566490,SRR21492343,,,14339531187,13675.24,,,30bc267d49478201183d4bbca994eed2
SRR21492342,SRS15047696,SRX17495749,SRP399711,GSE212964,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,Bulk and single cell sequencing of peripheral nervous system tumors in neurofibromatosis,GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,,Homo sapiens,Homo sapiens,9606,RNA-Seq,TRANSCRIPTOMIC SINGLE CELL,cDNA,PAIRED,GPL24676,Illumina NovaSeq 6000,Illumina NovaSeq 6000,PRJNA884396,SAMN30732287,1251181719,35382224389,418068446,50586281966,"Sep 08, 2022","Feb 27, 2025",GSM6566490: 23.3 sel 3 ; Homo sapiens; RNA-Seq,Peripheral nervous system tumors in neurofibromatosis,ILLUMINA,GSM6566490,SRR21492343.lite,,,11456796535,10926.05,,,dd1181204750e262af390ac8d97aa2c3
