id,fileName,assay,specimenType,platform,species,diagnosis,fileFormat
NF_001,EP5_S5_L001_I1_001.fastq.gz,,,,,,
NF_002,EP5_S5_L001_I2_001.fastq.gz,,,,,,
NF_003,EP5_S5_L001_R1_001.fastq.gz,,,,,,
NF_004,SRR21492342,,,,,,
NF_005,SRR21492342.lite,,,,,,
NF_006,EP5_S5_L001_R2_001.fastq.gz,,,,,,
NF_007,EP5_S5_L002_I1_001.fastq.gz,,,,,,
NF_008,EP5_S5_L002_I2_001.fastq.gz,,,,,,
NF_009,SRR21492343,,,,,,
NF_010,SRR21492343.lite,,,,,,
NF_011,EP5_S5_L001_I1_001.fastq.gz,,,,,,
NF_012,EP5_S5_L001_I2_001.fastq.gz,,,,,,
NF_013,EP5_S5_L001_R1_001.fastq.gz,,,,,,
NF_014,SRR21492342,,,,,,
NF_015,SRR21492342.lite,,,,,,
NF_016,EP5_S5_L001_R2_001.fastq.gz,,,,,,
NF_017,EP5_S5_L002_I1_001.fastq.gz,,,,,,
NF_018,EP5_S5_L002_I2_001.fastq.gz,,,,,,
NF_019,SRR21492343,,,,,,
NF_020,SRR21492343.lite,,,,,,
